Age,EstimatedSalary,Purchased
56,30795,1
25,91820,0
36,52194,0
53,75263,1
39,79820,1
47,82969,0
38,98104,0
39,86932,0
44,40658,0
45,17747,0
20,84092,1
24,111276,1
26,95038,0
42,88969,0
43,83148,0
45,38483,0
25,95077,0
57,104475,1
19,81557,1
23,93953,1
21,55757,1
46,60758,1
51,52065,1
31,47606,1
25,55397,0
57,104812,1
33,39300,1
35,97798,1
43,78704,0
58,53044,1
18,63984,1
24,17568,1
25,63190,1
34,48159,1
50,27666,0
56,79505,0
24,23392,0
51,67256,0
40,92373,0
52,99651,0
44,85592,0
31,42266,1
43,113806,1
56,15206,0
59,38419,0
49,69268,0
47,95356,0
32,48827,1
24,90450,1
39,37299,1
19,79044,1
23,110003,1
45,84163,0
28,33047,1
45,36976,0
50,45080,0
30,70016,0
23,36959,0
54,112504,1
59,81199,1
49,110839,1
41,83840,0
29,67733,0
20,38664,0
34,41736,1
45,15854,0
50,70680,0
19,102092,1
43,119095,0
21,67662,1
28,27688,1
41,67083,1
39,49698,1
33,40184,0
23,66663,1
46,106906,1
37,17811,1
53,87082,1
36,26411,1
49,82270,0
50,98879,0
35,26111,1
18,16802,0
42,62254,0
59,45306,0
33,111601,1
19,46616,0
29,35932,1
26,22400,0
33,81690,1
50,27183,1
25,20539,1
37,63354,0
42,97018,1
35,61975,0
19,17869,0
58,109179,1
50,53467,0
38,101831,1
25,61214,1
