Age,Experience,Salary
56,8,73047
46,7,56356
32,11,47388
25,33,76126
38,32,96261
56,22,88361
36,23,66434
40,36,99777
28,34,83132
28,39,82284
41,21,69501
53,26,98274
57,34,111012
41,0,28334
20,34,75235
39,36,99559
19,13,34611
41,2,47068
47,0,56608
55,4,60982
19,25,53671
38,13,55480
50,38,106540
29,26,68561
39,8,53241
42,14,63674
44,14,64300
59,25,98676
45,12,69525
33,31,76175
32,38,90646
20,31,68854
54,3,61985
24,29,64555
38,36,95857
26,22,66038
56,38,102707
35,14,60986
21,28,59746
42,35,87197
31,12,33794
26,31,70009
43,6,50312
19,21,48883
37,27,73900
45,1,42639
24,5,34024
25,27,70027
52,27,96563
31,19,49259
34,29,89924
53,10,69526
57,27,101070
21,24,51181
19,38,76242
23,32,71374
59,0,59568
21,26,66034
46,12,72305
35,2,30426
43,38,102587
51,5,61812
27,7,39389
53,26,84937
31,8,49591
48,36,102447
32,32,72186
25,23,58019
31,14,52828
40,31,90523
57,31,103734
38,23,74800
33,11,62094
35,38,98876
41,1,37435
43,2,41351
42,36,93610
58,16,75240
46,1,42596
32,1,26494
18,27,51259
42,22,80114
24,36,71912
26,31,68889
41,32,93096
18,0,14251
25,18,53828
41,1,38541
28,25,57032
34,31,83896
25,5,24478
52,31,97920
52,3,54808
50,10,65451
22,16,43202
59,37,115134
56,23,81654
58,4,75987
45,33,90201
24,5,35695
